trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
380,False,"{'a': 0.8, 'e': 0.014573211018950663}",25,0,15.944674672965899,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
381,False,"{'a': 0.8, 'e': 0.014411518807585169}",20,0,26.36674886383852,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
382,False,"{'a': 0.8, 'e': 0.01425162059832273}",30,23,13.397149515061184,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.8, 'e': 0.014093496486410242}",30,16,26.68937464837193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.8, 'e': 0.01393712678794117}",20,16,8.834839615572495,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.8, 'e': 0.0137824920374052}",25,12,20.54230152222937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.8, 'e': 0.013629572985265116}",25,1,30.151599489878336,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.8, 'e': 0.013478350595560531}",25,20,7.261379921161717,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.8, 'e': 0.013328806043538219}",25,5,34.085276641039364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.8, 'e': 0.013180920713308735}",35,18,27.979618166386864,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.8, 'e': 0.013034676195529043}",30,13,27.79829001686031,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.8, 'e': 0.01289005428511084}",25,17,17.263108661332843,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.8, 'e': 0.012747036978954318}",20,4,24.381277060721366,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.8, 'e': 0.012605606473707079}",20,13,11.390853364657206,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.8, 'e': 0.01246574516354788}",20,5,22.9832175658132,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.8, 'e': 0.01232743563799502}",30,18,21.77492126267487,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.8, 'e': 0.012190660679738997}",20,11,17.521486823337256,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.8, 'e': 0.01205540326249923}",20,3,29.932313724189253,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.8, 'e': 0.011921646548904572}",20,14,15.073199581562912,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.8, 'e': 0.011789373888397322}",20,0,31.416886577717246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
400,False,"{'a': 0.8, 'e': 0.011658568815160494}",20,3,28.956484024492866,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.8, 'e': 0.0115292150460681}",30,9,31.275311432861717,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.8, 'e': 0.011401296478658148}",25,0,37.071264206620654,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
403,False,"{'a': 0.8, 'e': 0.011274797189128159}",25,6,21.870594421995236,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.8, 'e': 0.0111497014303529}",25,0,39.98236665443166,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
405,False,"{'a': 0.8, 'e': 0.011025993629924126}",20,15,9.925181793009914,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.8, 'e': 0.01090365838821206}",20,10,16.41030437033914,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.8, 'e': 0.01078268047644839}",25,15,18.448109854306676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.8, 'e': 0.010663044834830541}",20,11,16.750726152349813,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.8, 'e': 0.010544736570646956}",25,19,8.147449558550312,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.8, 'e': 0.0104277409564232}",25,16,20.097512361896584,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.8, 'e': 0.010312043428088639}",30,23,15.53914060360706,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.8, 'e': 0.010197629583163424}",20,15,5.848624120957385,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.8, 'e': 0.010084485178965631}",25,16,18.36193832626344,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.8, 'e': 0.009972596130838274}",30,4,40.427603586925926,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
