trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,True,"{'a': 0, 'e': 0}",20,9,14.648098049151058,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,True,"{'a': 0, 'e': 0}",30,24,11.780003110808384,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,True,"{'a': 0, 'e': 0}",25,0,28.304290241663807,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,True,"{'a': 0, 'e': 0}",20,0,3.3453871980381864,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
121,True,"{'a': 0, 'e': 0}",25,0,24.766105366110303,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,True,"{'a': 0, 'e': 0}",20,0,15.958857378724602,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,True,"{'a': 0, 'e': 0}",25,0,26.902095567951303,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,True,"{'a': 0, 'e': 0}",30,0,35.624627881341816,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,True,"{'a': 0, 'e': 0}",20,8,15.555295426357297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,True,"{'a': 0, 'e': 0}",20,0,17.699108432578033,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,True,"{'a': 0, 'e': 0}",20,7,7.134531766599062,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,True,"{'a': 0, 'e': 0}",25,0,-38.15370538125834,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
129,True,"{'a': 0, 'e': 0}",25,7,24.01363332817761,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,True,"{'a': 0, 'e': 0}",20,0,23.402115637136447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,True,"{'a': 0, 'e': 0}",25,0,24.400212327617307,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,True,"{'a': 0, 'e': 0}",25,12,22.046346851117995,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,True,"{'a': 0, 'e': 0}",25,3,27.808544078024937,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
