trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
27,True,"{'a': 0, 'e': 0}",20,0,22.24211612134752,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,True,"{'a': 0, 'e': 0}",20,0,15.491647824053917,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,True,"{'a': 0, 'e': 0}",25,0,0.615682030246189,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
30,True,"{'a': 0, 'e': 0}",20,0,-14.308561051885833,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
31,True,"{'a': 0, 'e': 0}",20,16,5.2026336653261485,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",35,10,34.22437063252269,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",20,0,25.9694455263978,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,True,"{'a': 0, 'e': 0}",20,0,19.621354701295424,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0, 'e': 0}",35,0,37.45276971026758,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,True,"{'a': 0, 'e': 0}",30,0,-7.015205402756251,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
37,True,"{'a': 0, 'e': 0}",20,0,25.068858005381813,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,True,"{'a': 0, 'e': 0}",30,0,22.662544341202487,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
39,True,"{'a': 0, 'e': 0}",25,0,26.668661102412788,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,True,"{'a': 0, 'e': 0}",20,0,26.383933231100357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,True,"{'a': 0, 'e': 0}",25,11,18.92659747918242,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,13,-34.40975016755061,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,True,"{'a': 0, 'e': 0}",20,0,22.810853424811615,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0, 'e': 0}",25,0,5.391714581242551,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
45,True,"{'a': 0, 'e': 0}",20,4,21.668541837125762,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",25,0,32.61062558167934,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0, 'e': 0}",25,1,-14.927072825409276,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,True,"{'a': 0, 'e': 0}",20,9,19.889530955494475,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,0,24.21014185072066,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,True,"{'a': 0, 'e': 0}",30,0,31.551272652536127,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,True,"{'a': 0, 'e': 0}",20,0,21.008574896220832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,True,"{'a': 0, 'e': 0}",30,24,8.784831848252411,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0, 'e': 0}",20,16,5.417701151835805,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0, 'e': 0}",30,11,27.364865815563824,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0, 'e': 0}",25,0,-16.469392023932212,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
56,True,"{'a': 0, 'e': 0}",20,16,7.1983563733038505,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0, 'e': 0}",20,0,29.55276803565039,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,True,"{'a': 0, 'e': 0}",25,0,27.670430874664152,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,True,"{'a': 0, 'e': 0}",20,0,23.88183053225282,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
