trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
641,False,"{'a': 0.003, 'e': 0.14660696213035015}",20,0,17.301643795178407,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
642,False,"{'a': 0.003, 'e': 0.14616780031605184}",30,10,2.6591911299696593,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
643,False,"{'a': 0.003, 'e': 0.14572995401294303}",25,0,18.338379506230314,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
644,False,"{'a': 0.003, 'e': 0.145293419280404}",30,8,35.69974636180111,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.003, 'e': 0.14485819218961926}",30,14,-17.207214367202432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
646,False,"{'a': 0.003, 'e': 0.14442426882354198}",20,0,-52.39151093006705,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
647,False,"{'a': 0.003, 'e': 0.143991645276859}",20,6,27.256680176640618,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
648,False,"{'a': 0.003, 'e': 0.14356031765595542}",30,18,10.816674235949721,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
649,False,"{'a': 0.003, 'e': 0.14313028207887982}",25,8,16.944377505781425,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
650,False,"{'a': 0.003, 'e': 0.14270153467530902}",25,11,14.440714959779665,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
651,False,"{'a': 0.003, 'e': 0.1422740715865136}",30,7,34.50959480317957,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.003, 'e': 0.14184788896532272}",20,5,6.457363087139474,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
653,False,"{'a': 0.003, 'e': 0.14142298297609007}",20,3,13.896820367861316,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
